location_id,city,state,country
LOC0001,Bengaluru,Karnataka,India
LOC0002,Mysuru,Karnataka,India
LOC0003,Mangaluru,Karnataka,India
LOC0004,Hubballi,Karnataka,India
LOC0005,Mumbai,Maharashtra,India
LOC0006,Pune,Maharashtra,India
LOC0007,Nagpur,Maharashtra,India
LOC0008,Nashik,Maharashtra,India
LOC0009,Chennai,Tamil Nadu,India
LOC0010,Coimbatore,Tamil Nadu,India
LOC0011,Madurai,Tamil Nadu,India
LOC0012,Hyderabad,Telangana,India
LOC0013,Warangal,Telangana,India
LOC0014,Kochi,Kerala,India
LOC0015,Thiruvananthapuram,Kerala,India
LOC0016,Kozhikode,Kerala,India
LOC0017,New Delhi,Delhi,India
LOC0018,Ahmedabad,Gujarat,India
LOC0019,Surat,Gujarat,India
LOC0020,Vadodara,Gujarat,India
LOC0021,Kolkata,West Bengal,India
LOC0022,Jaipur,Rajasthan,India
LOC0023,Udaipur,Rajasthan,India
LOC0024,Lucknow,Uttar Pradesh,India
LOC0025,Kanpur,Uttar Pradesh,India
LOC0026,Noida,Uttar Pradesh,India
LOC0027,Kanpur,Uttar Pradesh,India
LOC0028,New Delhi,Delhi,India
LOC0029,Madurai,Tamil Nadu,India
LOC0030,Kolkata,West Bengal,India
LOC0031,Bengaluru,Karnataka,India
LOC0032,Madurai,Tamil Nadu,India
LOC0033,Madurai,Tamil Nadu,India
LOC0034,Vadodara,Gujarat,India
LOC0035,Nashik,Maharashtra,India
LOC0036,Vadodara,Gujarat,India
LOC0037,Kolkata,West Bengal,India
LOC0038,Jaipur,Rajasthan,India
LOC0039,Nagpur,Maharashtra,India
LOC0040,New Delhi,Delhi,India
LOC0041,Thiruvananthapuram,Kerala,India
LOC0042,Coimbatore,Tamil Nadu,India
LOC0043,Mangaluru,Karnataka,India
LOC0044,Jaipur,Rajasthan,India
LOC0045,Jaipur,Rajasthan,India
LOC0046,Kozhikode,Kerala,India
LOC0047,Jaipur,Rajasthan,India
LOC0048,Coimbatore,Tamil Nadu,India
LOC0049,Madurai,Tamil Nadu,India
LOC0050,Jaipur,Rajasthan,India
LOC0051,Kanpur,Uttar Pradesh,India
LOC0052,Kolkata,West Bengal,India
LOC0053,Nagpur,Maharashtra,India
LOC0054,Kochi,Kerala,India
LOC0055,Mysuru,Karnataka,India
LOC0056,Lucknow,Uttar Pradesh,India
LOC0057,Nashik,Maharashtra,India
LOC0058,Pune,Maharashtra,India
LOC0059,Madurai,Tamil Nadu,India
LOC0060,Kolkata,West Bengal,India
LOC0061,Kozhikode,Kerala,India
LOC0062,Kanpur,Uttar Pradesh,India
LOC0063,Hyderabad,Telangana,India
LOC0064,Thiruvananthapuram,Kerala,India
LOC0065,New Delhi,Delhi,India
LOC0066,Udaipur,Rajasthan,India
LOC0067,Pune,Maharashtra,India
LOC0068,Hyderabad,Telangana,India
LOC0069,New Delhi,Delhi,India
LOC0070,Noida,Uttar Pradesh,India
LOC0071,Hyderabad,Telangana,India
LOC0072,Bengaluru,Karnataka,India
LOC0073,Mysuru,Karnataka,India
LOC0074,Mumbai,Maharashtra,India
LOC0075,New Delhi,Delhi,India
LOC0076,Jaipur,Rajasthan,India
LOC0077,Kozhikode,Kerala,India
LOC0078,Kolkata,West Bengal,India
LOC0079,Jaipur,Rajasthan,India
LOC0080,Noida,Uttar Pradesh,India
LOC0081,Kolkata,West Bengal,India
LOC0082,Kolkata,West Bengal,India
LOC0083,Hyderabad,Telangana,India
LOC0084,Nashik,Maharashtra,India
LOC0085,New Delhi,Delhi,India
LOC0086,Surat,Gujarat,India
LOC0087,Bengaluru,Karnataka,India
LOC0088,Hubballi,Karnataka,India
LOC0089,New Delhi,Delhi,India
LOC0090,Hyderabad,Telangana,India
LOC0091,Warangal,Telangana,India
LOC0092,Coimbatore,Tamil Nadu,India
LOC0093,Coimbatore,Tamil Nadu,India
LOC0094,Kolkata,West Bengal,India
LOC0095,Nashik,Maharashtra,India
LOC0096,Jaipur,Rajasthan,India
LOC0097,Bengaluru,Karnataka,India
LOC0098,Pune,Maharashtra,India
LOC0099,Coimbatore,Tamil Nadu,India
LOC0100,Kolkata,West Bengal,India
